('d�lar', 'n') 0.9999999999999998
('cotizaci�n', 'n') 0.3489315788994265
('devaluaci�n', 'n') 0.2828761909280089
('manifestando', 'n') 0.26111648393354675
('expectativa', 'n') 0.251259453814803
('rebote', 'n') 0.23618874648666507
('altibajos', 'n') 0.21759706994462225
('cambiario', 'n') 0.21759706994462225
('gato', 'n') 0.21759706994462225
('pesosanluego', 'n') 0.21759706994462225
('taquilla', 'n') 0.21759706994462225
('crecimiento', 'n') 0.2174908991308147
('peso', 'n') 0.19585266453731862
('inflaci�n', 'n') 0.19405146605862292
('tendencia', 'n') 0.1926686588971131
('tasa', 'n') 0.19245790004581076
('inter�s', 'n') 0.19139816387875427
('ciento', 'n') 0.175871182998129
('atacar�a', 'n') 0.17407765595569782
('cambiaria', 'n') 0.17407765595569782
('estabilidad', 'n') 0.16724840200141813
('econom�a', 'n') 0.16125981561563224
('presupuestario', 'n') 0.15569978883230456
('funci�n', 'n') 0.15531518604934885
('resto', 'n') 0.15075567228888181
('parte', 'n') 0.14272480642961252
('agobiados', 'n') 0.13055824196677338
('cartulina', 'n') 0.13055824196677338
('cierne', 'n') 0.13055824196677338
('inyectado', 'n') 0.13055824196677338
('variaci�n', 'n') 0.13055824196677338
('vislumbra', 'n') 0.13055824196677338
('eficacia', 'n') 0.1266600992762247
('a�o', 'n') 0.12472761616031378
('medida', 'n') 0.12419878306366104
('nivel', 'n') 0.12373539157665824
('estancamiento', 'n') 0.12309149097933272
('obst�culo', 'n') 0.12309149097933272
('emisora', 'n') 0.1225859796402981
('recuperaci�n', 'n') 0.11993926507518553
('normalidad', 'n') 0.11677484162422844
('clima', 'n') 0.11631052629980884
('empleado', 'n') 0.11631052629980884
('cambio', 'n') 0.11450715310358611
('dinero', 'n') 0.11404206419007872
('comportamiento', 'n') 0.11313893217116627
('huelga', 'n') 0.11236664374387367
('negocio', 'n') 0.11053942207134547
('colombia', 'n') 0.11009637651263604
('sector', 'n') 0.10855649121315493
('mundo', 'n') 0.1073182138185267
('momento', 'n') 0.10695747930602933
('especialidad', 'n') 0.10660035817780522
('orden', 'n') 0.10660035817780522
('estrategia', 'n') 0.10606060606060605
('mes', 'n') 0.10487553416094877
('monto', 'n') 0.10448925095464312
('trimestre', 'n') 0.10322795481850183
('corriente', 'n') 0.10257624248277726
('mecanismo', 'n') 0.10257624248277726
('final', 'n') 0.10050378152592121
('operador', 'n') 0.10050378152592121
('primaria', 'n') 0.10050378152592121
('�xito', 'n') 0.10050378152592121
('prestaci�n', 'n') 0.09984038297885896
('recurso', 'n') 0.09953270772344086
('argentina', 'n') 0.09869275424396536
('brasil', 'n') 0.09869275424396536
('riesgo', 'n') 0.09869275424396536
('pago', 'n') 0.09848484848484847
('incremento', 'n') 0.09791868147508002
('acuerdo', 'n') 0.09731236802019036
('precio', 'n') 0.09677768063277398
('empresa', 'n') 0.09551164718229263
('torno', 'n') 0.09534625892455922
('esquema', 'n') 0.09499507445716854
