('dólar', 'n') 0.18572040490015004
('manifestando', 'n') 0.11818575845721915
('pesosanluego', 'n') 0.09848819890747082
('gato', 'n') 0.09848815392601984
('taquilla', 'n') 0.09848811776036405
('cotización', 'n') 0.09848810519043112
('altibajos', 'n') 0.0984881001909572
('cambiario', 'n') 0.09848806343196988
('rebote', 'n') 0.08863922860147734
('devaluación', 'n') 0.08535626735712831
('colombia', 'n') 0.07879045832432356
('cambiaria', 'n') 0.07879045159717549
('atacaría', 'n') 0.07879039854655173
('presupuestario', 'n') 0.07879038275098518
('expectativa', 'n') 0.06565871738388665
('normalidad', 'n') 0.05909285684137979
('inyectado', 'n') 0.05909285661759571
('cierne', 'n') 0.05909285638836942
('vislumbra', 'n') 0.059092856083135664
('cartulina', 'n') 0.05909285602472347
('argentina', 'n') 0.05909284601583799
('brasil', 'n') 0.05909284601583799
('variación', 'n') 0.05909284059526787
('agobiados', 'n') 0.05909282250204702
('especialidad', 'n') 0.059092801600053445
('prestación', 'n') 0.04924400701485681
('buscaremos', 'n') 0.039395240554958244
('estancia', 'n') 0.03939524029173168
('instrumentadas', 'n') 0.03939524029173168
('reestructurado', 'n') 0.03939523992148167
('óptima', 'n') 0.03939523894499583
('atractivo', 'n') 0.03939523872704391
('desfase', 'n') 0.03939523861473396
('primarias', 'n') 0.03939523842981286
('capitalizando', 'n') 0.039395238080273925
('cálculo', 'n') 0.03939523808027391
('drástica', 'n') 0.03939523808027391
('insolvencia', 'n') 0.03939523808027391
('deshabitadas', 'n') 0.039395238025749686
('padrón', 'n') 0.039395238025749686
('imprecisas', 'n') 0.03939523790156746
('siento', 'n') 0.03939523785785584
('parálisis', 'n') 0.03939523776386322
('seno', 'n') 0.039395237681453546
('abuelo', 'n') 0.03939523702543396
('contribuya', 'n') 0.03939523702543396
('ladrón', 'n') 0.03939523696292657
('liberación', 'n') 0.03939523649110341
('capitaliza', 'n') 0.039395236324309524
('afirmación', 'n') 0.03939523630498976
('antimigratoria', 'n') 0.03939523630498976
('fundamentado', 'n') 0.03939523630498976
('histérica', 'n') 0.03939523630498976
('regalía', 'n') 0.03939523630498976
