('año', 'n') 125
('millón', 'n') 107
('empresa', 'n') 95
('méxico', 'n') 84
('gobierno', 'n') 83
('país', 'n') 83
('caso', 'n') 67
('parte', 'n') 67
('nota', 'n') 64
('día', 'n') 62
('interés', 'n') 50
('internet', 'n') 49
('sistema', 'n') 46
('ciento', 'n') 45
('precio', 'n') 44
('política', 'n') 44
('poder', 'n') 42
('problema', 'n') 42
('persona', 'n') 41
('trabajador', 'n') 40
('mercado', 'n') 39
('financiera', 'n') 38
('justicia', 'n') 38
('recurso', 'n') 35
('leche', 'n') 35
('producto', 'n') 34
('tiempo', 'n') 34
('desarrollo', 'n') 33
('organización', 'n') 33
('dinero', 'n') 33
('programa', 'n') 33
('información', 'n') 33
('servicio', 'n') 32
('tierra', 'n') 32
('momento', 'n') 31
('trabajo', 'n') 31
('situación', 'n') 30
('acción', 'n') 30
('presidente', 'n') 30
('vez', 'n') 29
('reforma', 'n') 28
('semana', 'n') 28
('fondo', 'n') 28
('acuerdo', 'n') 28
('grupo', 'n') 28
('hectárea', 'n') 27
('banco', 'n') 27
('mundo', 'n') 26
('número', 'n') 26
('nivel', 'n') 26
('valor', 'n') 26
('cambio', 'n') 26
('autoridad', 'n') 26
('materia', 'n') 25
('economía', 'n') 25
('embargo', 'n') 25
('ciudad', 'n') 25
('deuda', 'n') 25
('vida', 'n') 25
('inflación', 'n') 25
('proyecto', 'n') 25
('unidos', 'n') 24
('tecnología', 'n') 24
('demanda', 'n') 24
('fin', 'n') 24
('foro', 'n') 23
('manera', 'n') 23
('sector', 'n') 23
('crisis', 'n') 23
('mes', 'n') 23
('dirigente', 'n') 22
('control', 'n') 22
('tasa', 'n') 22
('señor', 'n') 22
('pago', 'n') 21
('partido', 'n') 21
('capital', 'n') 21
('pueblo', 'n') 21
('director', 'n') 21
('mano', 'n') 21
('forma', 'n') 20
('investigación', 'n') 20
('compra', 'n') 20
('planta', 'n') 20
('hora', 'n') 20
('industria', 'n') 20
('base', 'n') 20
('dato', 'n') 20
('sindicato', 'n') 19
('crédito', 'n') 19
('papel', 'n') 19
('trimestre', 'n') 19
('república', 'n') 19
('seguridad', 'n') 19
('condición', 'n') 19
('medida', 'n') 18
('comisión', 'n') 18
('institución', 'n') 18
('computadora', 'n') 18
('red', 'n') 18
('negociación', 'n') 18
('colonia', 'n') 18
('derecho', 'n') 18
('apoyo', 'n') 18
('costo', 'n') 17
('salario', 'n') 17
('financiero', 'n') 17
('luis', 'n') 17
('líder', 'n') 17
('recuperación', 'n') 17
('mayoría', 'n') 17
('resultado', 'n') 17
('secretario', 'n') 17
('periodo', 'n') 16
('consejo', 'n') 16
('unidad', 'n') 16
('producción', 'n') 16
('sociedad', 'n') 16
('venta', 'n') 16
('decisión', 'n') 16
('ingreso', 'n') 16
('peso', 'n') 16
('predio', 'n') 16
('proceso', 'n') 16
('secretaría', 'n') 16
('funcionario', 'n') 16
('elección', 'n') 16
('población', 'n') 16
('nacional', 'n') 16
('comunicación', 'n') 16
('ejemplo', 'n') 16
('administración', 'n') 15
('punto', 'n') 15
('respecto', 'n') 15
('banca', 'n') 15
('capacidad', 'n') 15
('colosio', 'n') 15
('distrito', 'n') 15
('centro', 'n') 15
('análisis', 'n') 15
('tema', 'n') 14
('cantidad', 'n') 14
('falta', 'n') 14
('lado', 'n') 14
('aeropuerto', 'n') 14
('gente', 'n') 14
('mecanismo', 'n') 14
('aplicación', 'n') 14
('realidad', 'n') 14
('organismo', 'n') 14
('nombre', 'n') 14
('político', 'n') 14
('línea', 'n') 14
('mesa', 'n') 14
('camino', 'n') 13
('saldo', 'n') 13
