[('interés', 'n'), 50] 16.578787320066404
[('día', 'n'), 62] 16.578549828938964
[('internet', 'n'), 49] 16.574321766246786
[('nota', 'n'), 64] 16.57107398254444
[('caso', 'n'), 67] 16.556894979743365
[('parte', 'n'), 67] 16.556894979743365
[('sistema', 'n'), 46] 16.555418324017403
[('ciento', 'n'), 45] 16.54709220224551
[('precio', 'n'), 44] 16.537647643553427
[('política', 'n'), 44] 16.537647643553427
[('poder', 'n'), 42] 16.515112195361816
[('problema', 'n'), 42] 16.515112195361816
[('persona', 'n'), 41] 16.501860454041108
[('trabajador', 'n'), 40] 16.48716724369982
[('mercado', 'n'), 39] 16.47093365138861
[('financiera', 'n'), 38] 16.453051838123454
[('justicia', 'n'), 38] 16.453051838123454
[('gobierno', 'n'), 83] 16.437198660212292
[('país', 'n'), 83] 16.437198660212292
[('méxico', 'n'), 84] 16.4278954352727
[('recurso', 'n'), 35] 16.388281897245527
[('leche', 'n'), 35] 16.388281897245527
[('producto', 'n'), 34] 16.36251057949614
[('tiempo', 'n'), 34] 16.36251057949614
[('desarrollo', 'n'), 33] 16.334375732802464
[('organización', 'n'), 33] 16.334375732802464
[('dinero', 'n'), 33] 16.334375732802464
[('programa', 'n'), 33] 16.334375732802464
[('información', 'n'), 33] 16.334375732802464
[('empresa', 'n'), 95] 16.31621340417745
[('servicio', 'n'), 32] 16.30368782694885
[('tierra', 'n'), 32] 16.30368782694885
[('momento', 'n'), 31] 16.270236823565362
[('trabajo', 'n'), 31] 16.270236823565362
[('situación', 'n'), 30] 16.233789280097124
[('acción', 'n'), 30] 16.233789280097124
[('presidente', 'n'), 30] 16.233789280097124
[('vez', 'n'), 29] 16.194084939899593
[('millón', 'n'), 107] 16.18030479417265
[('reforma', 'n'), 28] 16.150832697135723
[('semana', 'n'), 28] 16.150832697135723
[('fondo', 'n'), 28] 16.150832697135723
[('acuerdo', 'n'), 28] 16.150832697135723
[('grupo', 'n'), 28] 16.150832697135723
[('hectárea', 'n'), 27] 16.103705796329972
